City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Sakaiminato,JP,35.55,133.2333,57.18,100,75,3.44,broken clouds
80,Qaanaaq,GL,77.484,-69.3632,19.54,86,100,3.13,overcast clouds
81,Constitucion,CL,-35.3333,-72.4167,59.99,39,0,11.18,clear sky
82,Skjervoy,NO,70.0311,20.9714,28.4,74,100,22.5,light snow
83,Aniva,RU,46.7144,142.5294,33.91,65,2,12.71,clear sky
84,Codrington,AU,-38.2667,141.9667,58.62,53,99,20.8,overcast clouds
85,Lardos,GR,36.0942,28.0157,66.02,61,82,5.95,broken clouds
86,Nieuw Amsterdam,SR,5.8833,-55.0833,89.02,66,40,11.5,scattered clouds
87,Victoria,HK,22.2855,114.1577,76.17,78,0,15.01,clear sky
88,Carnarvon,AU,-24.8667,113.6333,78.87,78,75,6.91,broken clouds
89,Upata,VE,8.0086,-62.3989,86.38,36,85,6.02,overcast clouds
90,Oistins,BB,13.0667,-59.5333,82.49,61,20,24.16,few clouds
91,Ponta Do Sol,PT,32.6667,-17.1,68.72,65,4,1.07,clear sky
92,Chuy,UY,-33.6971,-53.4616,65.12,33,40,16.4,scattered clouds
93,Dikson,RU,73.5069,80.5464,25.75,91,99,10.49,overcast clouds
94,Velen,DE,51.9,6.9833,53.94,56,100,8.95,overcast clouds
95,Jamestown,US,42.097,-79.2353,33.71,57,100,10.36,overcast clouds
96,Laurel,US,39.0993,-76.8483,45.75,63,100,10.36,overcast clouds
97,Linxia,CN,35.6003,103.2064,43.79,39,100,2.51,overcast clouds
98,Brewster,US,41.3973,-73.6171,36.82,39,0,4.61,clear sky
99,Kall,DE,50.55,6.55,56.16,52,98,7.38,overcast clouds
100,Banda Aceh,ID,5.5577,95.3222,80.31,80,53,5.91,broken clouds
101,Nanortalik,GL,60.1432,-45.2371,36.5,75,15,2.82,few clouds
102,Nyurba,RU,63.2842,118.3319,0.84,99,76,3.09,broken clouds
103,Salalah,OM,17.0151,54.0924,84.29,48,0,6.91,clear sky
104,Jumla,NP,29.2747,82.1838,50.79,48,0,5.44,clear sky
105,Hamilton,US,39.1834,-84.5333,65.98,53,20,17.27,few clouds
106,Thompson,CA,55.7435,-97.8558,5.16,72,20,0.0,few clouds
107,Hermanus,ZA,-34.4187,19.2345,71.8,66,6,20.29,clear sky
108,Port Lincoln,AU,-34.7333,135.8667,61.59,58,87,16.75,overcast clouds
