City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
92,Chuy,UY,65.12,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
94,Velen,DE,53.94,overcast clouds,51.9,6.9833,SportSchloss Velen
95,Jamestown,US,33.71,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
96,Laurel,US,45.75,overcast clouds,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
97,Linxia,CN,43.79,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
98,Brewster,US,36.82,clear sky,41.3973,-73.6171,Heidi's Inn
99,Kall,DE,56.16,overcast clouds,50.55,6.55,Hotel Friedrichs
100,Banda Aceh,ID,80.31,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
101,Nanortalik,GL,36.5,few clouds,60.1432,-45.2371,
103,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
104,Jumla,NP,50.79,clear sky,29.2747,82.1838,Royal Garden Hotel
105,Hamilton,US,65.98,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
107,Hermanus,ZA,71.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
108,Port Lincoln,AU,61.59,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
109,Berlevag,NO,30.15,broken clouds,70.8578,29.0864,Kvitbrakka
110,Tasiilaq,GL,30.36,snow,65.6145,-37.6368,The Red House
111,Khonsa,IN,63.68,broken clouds,27.0167,95.5667,
112,Nouadhibou,MR,82.38,clear sky,20.931,-17.0347,El Medina
113,Rawson,AR,56.05,few clouds,-43.3002,-65.1023,Hosteria Sampedro
114,Broken Hill,AU,58.71,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
115,Bethel,US,36.57,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
116,Takab,IR,52.2,overcast clouds,36.4009,47.1133,نانوایی جواد
118,Torbay,CA,36.28,moderate rain,47.6666,-52.7314,Gallows Cove
119,Alenquer,BR,77.58,moderate rain,-1.9417,-54.7383,Detinha Hotel
120,Anloga,GH,85.71,overcast clouds,5.7947,0.8973,Pin Drop Hotel
122,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
123,Santa Vitoria Do Palmar,BR,64.92,broken clouds,-33.5189,-53.3681,Hostel Comodoro
124,Larsnes,NO,40.77,broken clouds,62.2028,5.5773,Liset Feriesenter AS
125,Marawi,PH,68.52,clear sky,7.9986,124.2928,Derogongan Residence
127,Wlodawa,PL,50.95,overcast clouds,51.55,23.55,Ośrodek Wypoczynkowy Ranczo
128,Vila Franca Do Campo,PT,64.81,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
129,Muros,ES,62.1,few clouds,42.7762,-9.0603,Apartment Av. Castelao
130,Whitehorse,CA,31.8,light snow,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
133,Tura,IN,73.89,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
136,Port Alfred,ZA,68.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
